"","Row.names","a","b","accuracy"
"1","q1",1.84850825778003,-2.32146795796786,0.954728733168511
"2","q11",0.614662196351921,-3.28910838738655,0.776095660508827
"3","q12",0.34411568516584,-6.3695730769429,0.911091539955222
"4","q13",0.397789191275692,-8.01960479282364,0.860421109967495
"5","q14",0.837304234903632,-4.92484231404852,0.982471730880101
"6","q15",1.05488738503877,-2.81711019343815,0.974283383263361
"7","q16",1.23234814602195,-3.33526319983873,0.983069476424421
"8","q17",1.20423122022211,-3.30146567577861,0.974227970954518
"9","q18",0.856744348117252,-3.11138658010655,0.862042214747455
"10","q19",0.804908952733495,-3.46581600079709,0.83259720439007
"11","q2",0.60897474203563,-1.71154873467627,0.723634646605053
"12","q20",0.657909105665901,-3.39947896333654,0.919636383250392
"13","q21",0.672989375755791,-4.71711272639376,0.983530607047738
"14","q22",0.538554292191406,-3.89992508603415,0.848548433305391
"15","q23",0.467941546769439,-4.85623679116254,0.912094266948208
"16","q24",1.1030721686547,-2.1304995616167,0.81402199632864
"17","q25",0.582625921002397,-4.82893080286421,0.858280809538463
"18","q26",0.876745989972604,-3.93288973678377,0.970703836536047
"19","q27",0.711389019870171,-3.26655337294087,0.903338532658482
"20","q28",0.264103850867336,-11.8393092473591,0.963062685469124
"21","q29",1.21289114045474,-1.88440891234244,0.840138436453282
"22","q3",1.26659718223692,-1.72169335928115,0.846317498381843
"23","q30",0.582266171773103,-4.06167423115173,0.886644985127101
"24","q31",0.838204231748382,-3.98587664205362,0.910476109631485
"25","q32_5",1.11311690110824,-1.55364307145284,0.802321304146373
"26","q32_6",1.28797109333343,-3.43286370422962,0.976450947727329
"27","q32_8",1.68117953983915,-1.74171462854969,0.886640563932246
"28","q33_4",0.987990177904531,-1.92671103329648,0.833589762634891
"29","q33_5",-0.0489747309482445,20.1918151650846,0.728759695680316
"30","q33_6",1.35436368277257,-1.812044341071,0.868151127050992
"31","q33_7",0.838074096733342,-1.8688680435435,0.797946089718423
"32","q34_1",0.508585119292198,-0.841367828443056,0.599151484283536
"33","q34_2",0.782523949469324,-2.60708878898458,0.86224971615929
"34","q34_3",0.591287418994616,-3.33908438655245,0.864460313586509
"35","q34_4",0.127308616786076,-4.84489344157614,0.648937675300376
"36","q34_6",1.64473735788769,-0.69711541874693,0.68070130761259
"37","q34_8",0.753998159509033,-4.50968835653337,0.959121632375879
"38","q35_1",0.699624476951696,-2.0328125330527,0.784327041088816
"39","q35_2",0.364304379174609,-5.03069626646648,0.856488015024989
"40","q35_4",1.25115955459802,-1.65335129959101,0.834801170025006
"41","q35_5",1.56686604645646,-1.90879997065108,0.899308171429178
"42","q35_7",2.05216365901406,-2.4494915452741,0.969957096725133
"43","q35_8",1.11081087450424,-1.03013891662604,0.713350947373633
"44","q5",1.16542446824757,-2.02567906301237,0.872096601339092
"45","q6",1.35263309871187,-2.98341247092536,0.964351021649707
"46","q7",1.24579266670068,-3.01323474787401,0.958058777132873
